op_id,feature_id,kind,source_geometry,operation,before_elev_ft,after_elev_ft,design_plate_ft,protrusion_before_ft,protrusion_after_ft,overflow_cells_before,overflow_cells_after,volume_cy,validation,note
OP015,tread_bend_r18,seating_tread,unreal_export/geo/seating_rows.geojson,cut,634.77,633.66,633.66,1.11,0.0,56,0,1.42,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP016,tread_east_r1,seating_tread,unreal_export/geo/seating_rows.geojson,cut,611.38,611.86,610.86,0.52,0.0,16,0,0.18,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP017,tread_east_r2,seating_tread,unreal_export/geo/seating_rows.geojson,cut,612.82,613.03,611.86,0.96,0.0,19,0,0.32,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP018,tread_east_r3,seating_tread,unreal_export/geo/seating_rows.geojson,cut,614.19,614.19,613.03,0.76,0.0,18,0,0.35,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP019,tread_east_r4,seating_tread,unreal_export/geo/seating_rows.geojson,cut,615.28,614.19,614.19,1.09,0.0,28,0,0.64,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP020,tread_east_r6,seating_tread,unreal_export/geo/seating_rows.geojson,cut,618.04,618.04,616.74,0.83,0.0,12,0,0.26,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP021,tread_east_r7,seating_tread,unreal_export/geo/seating_rows.geojson,cut,619.31,619.31,618.04,0.62,0.0,7,0,0.11,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP022,tread_east_r8,seating_tread,unreal_export/geo/seating_rows.geojson,cut,622.01,622.01,619.31,0.87,0.0,4,0,0.08,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP023,tread_east_r11,seating_tread,unreal_export/geo/seating_rows.geojson,cut,624.81,624.81,623.37,1.0,0.0,13,0,0.36,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP024,tread_east_r12,seating_tread,unreal_export/geo/seating_rows.geojson,cut,626.31,626.31,624.81,1.14,0.0,30,0,0.76,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP025,tread_east_r13,seating_tread,unreal_export/geo/seating_rows.geojson,cut,627.87,627.87,626.31,1.12,0.0,31,0,0.79,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP026,tread_east_r14,seating_tread,unreal_export/geo/seating_rows.geojson,cut,629.38,629.38,627.87,1.13,0.0,40,0,0.91,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP027,tread_east_r15,seating_tread,unreal_export/geo/seating_rows.geojson,cut,630.75,630.75,629.38,1.13,0.0,15,0,0.39,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP028,tread_east_r16,seating_tread,unreal_export/geo/seating_rows.geojson,cut,631.94,632.27,630.75,1.19,0.0,42,0,1.18,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP029,tread_east_r17,seating_tread,unreal_export/geo/seating_rows.geojson,cut,633.67,633.67,632.27,0.92,0.0,26,0,0.67,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP030,tread_east_r18,seating_tread,unreal_export/geo/seating_rows.geojson,cut,634.86,633.67,633.67,1.19,0.0,42,0,1.12,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP031,tread_south_r1,seating_tread,unreal_export/geo/seating_rows.geojson,cut,611.31,610.81,610.81,0.5,0.0,16,0,0.22,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP032,tread_south_r2,seating_tread,unreal_export/geo/seating_rows.geojson,cut,613.03,613.03,611.87,0.49,0.0,6,0,0.09,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP033,tread_south_r3,seating_tread,unreal_export/geo/seating_rows.geojson,cut,614.19,614.19,613.03,0.77,0.0,8,0,0.16,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP034,tread_south_r4,seating_tread,unreal_export/geo/seating_rows.geojson,cut,615.28,614.19,614.19,1.09,0.0,39,0,1.01,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP035,tread_south_r6,seating_tread,unreal_export/geo/seating_rows.geojson,cut,618.06,618.06,616.73,0.86,0.0,2,0,0.04,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP036,tread_south_r7,seating_tread,unreal_export/geo/seating_rows.geojson,cut,619.3,619.3,618.06,0.8,0.0,12,0,0.25,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP037,tread_south_r8,seating_tread,unreal_export/geo/seating_rows.geojson,cut,622.01,622.01,619.3,0.44,0.0,1,0,0.02,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP038,tread_south_r11,seating_tread,unreal_export/geo/seating_rows.geojson,cut,624.8,624.8,623.38,0.33,0.0,2,0,0.02,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP039,tread_south_r12,seating_tread,unreal_export/geo/seating_rows.geojson,cut,626.3,626.3,624.8,1.23,0.0,28,0,0.78,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP040,tread_south_r13,seating_tread,unreal_export/geo/seating_rows.geojson,cut,627.84,627.84,626.3,1.24,0.0,17,0,0.52,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP041,tread_south_r14,seating_tread,unreal_export/geo/seating_rows.geojson,cut,629.34,629.34,627.84,1.11,0.0,28,0,0.73,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP042,tread_south_r15,seating_tread,unreal_export/geo/seating_rows.geojson,cut,630.75,630.75,629.34,0.79,0.0,2,0,0.05,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP043,tread_south_r16,seating_tread,unreal_export/geo/seating_rows.geojson,cut,632.3,632.3,630.75,1.26,0.0,26,0,0.77,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP044,tread_south_r17,seating_tread,unreal_export/geo/seating_rows.geojson,cut,633.67,633.67,632.3,0.75,0.0,20,0,0.46,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP045,tread_south_r18,seating_tread,unreal_export/geo/seating_rows.geojson,cut,635.0,633.67,633.67,1.33,0.0,55,0,1.66,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP046,zone_cross_aisle,cross_aisle,unreal_export/geo/seating_rows.geojson,cut,623.4,622.01,622.01,1.05,0.0,38,0,0.86,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP047,zone_stage_core,stage_structure,unreal_export/geo/stage_floor.geojson,retain,609.78,612.5,612.5,0.0,0.0,0,0,239.12,"PASS (deck-void, excluded from earthwork totals)","612.5 ft is a STRUCTURE (deck) over existing grade ~609.78 ft; fill_cy is the void under the deck, not earthwork (DESIGN_CANON Rule 9, refit OPEN)"
OP048,zone_stage_shoulder_left,stage_structure,unreal_export/geo/stage_floor.geojson,retain,609.66,612.5,612.5,0.0,0.0,0,0,36.3,"PASS (deck-void, excluded from earthwork totals)","612.5 ft is a STRUCTURE (deck) over existing grade ~609.66 ft; fill_cy is the void under the deck, not earthwork (DESIGN_CANON Rule 9, refit OPEN)"
OP049,zone_stage_shoulder_right,stage_structure,unreal_export/geo/stage_floor.geojson,retain,609.77,612.5,612.5,0.0,0.0,0,0,35.35,"PASS (deck-void, excluded from earthwork totals)","612.5 ft is a STRUCTURE (deck) over existing grade ~609.77 ft; fill_cy is the void under the deck, not earthwork (DESIGN_CANON Rule 9, refit OPEN)"
OP050,zone_orchestra_event_floor,event_floor,unreal_export/geo/stage_floor.geojson,retain,609.95,612.5,612.5,0.0,0.0,0,0,204.34,"PASS (deck-void, excluded from earthwork totals)","612.5 ft is a STRUCTURE (deck) over existing grade ~609.95 ft; fill_cy is the void under the deck, not earthwork (DESIGN_CANON Rule 9, refit OPEN)"
OP051,ada_route_arrival_to_cross_aisle,ada_route,unreal_export/geo/ada_route.geojson,no-op,619.31,638.88,,,,,,,PASS (geometry unchanged; concept-tier corridor),sloped corridor; design grade 4.19% drop 15.3 ft over 365.3 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
OP052,ada_route_arrival_to_floor,ada_route,unreal_export/geo/ada_route.geojson,no-op,608.2,638.88,,,,,,,PASS (geometry unchanged; concept-tier corridor),sloped corridor; design grade 7.52% drop 24.8 ft over 330.1 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
OP053,ada_route_cross_aisle_to_wc_cluster,ada_route,unreal_export/geo/ada_route.geojson,no-op,622.01,623.4,,,,,,,PASS (geometry unchanged; concept-tier corridor),sloped corridor; design grade 0.0% drop 0.0 ft over 15.3 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
OP054,ada_route_floor_to_wc_cluster,ada_route,unreal_export/geo/ada_route.geojson,no-op,609.44,610.39,,,,,,,PASS (geometry unchanged; concept-tier corridor),sloped corridor; design grade 0.0% drop 0.0 ft over 14.0 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
OP055,ada_route_cross_aisle_to_egress,ada_route,unreal_export/geo/ada_route.geojson,no-op,618.5,640.45,,,,,,,PASS (geometry unchanged; concept-tier corridor),sloped corridor; design grade 3.85% drop -16.9 ft over 439.6 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
OP056,ada_route_floor_to_egress,ada_route,unreal_export/geo/ada_route.geojson,no-op,608.31,640.56,,,,,,,PASS (geometry unchanged; concept-tier corridor),sloped corridor; design grade 6.18% drop -26.4 ft over 427.6 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
OP057,ada_route_service_to_stage,ada_route,unreal_export/geo/ada_route.geojson,no-op,609.48,610.0,,,,,,,PASS (geometry unchanged; concept-tier corridor),sloped corridor; design grade 0.0% drop 0.0 ft over 10.8 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
OP058,ada_route_park_to_floor,ada_route,unreal_export/geo/ada_route.geojson,no-op,608.22,618.06,,,,,,,PASS (geometry unchanged; concept-tier corridor),sloped corridor; design grade 2.14% drop 5.3 ft over 246.2 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
OP-AGG,ALL_FLAT_PLATES,grading_aggregate,dem/proposed_grade_1ft.tif,cut+fill,,,,,0.0,1108,0,fill 155.1 / cut 231.9,"PASS (after-audit 0 overflow; delta after-before = +52.9 CY net, ties to manifest)",all_touched=True fringe flatten; net +52.9 CY fill (delta raster corroborated)
